time,ConcentrationSystem
0,10.2516
1,10.7585
2,10.5127
3,10.7446
4,10.2577
5,10.7133
6,10.6594
7,10.7067
8,10.3336
9,10.3886
10,10.334
11,10.4241
12,10.5954
13,10.3885
14,10.4763
15,10.4191
16,10.5208
17,10.4974
18,10.4335
19,10.5084
20,10.444
21,10.5507
22,10.4434
23,10.4974
24,10.4352
25,10.4555
26,10.4665
27,10.429
28,10.4894
29,10.4593
30,10.3993
31,10.4405
32,10.4161
33,10.3875
34,10.3996
35,10.3764
36,10.3573
37,10.3594
38,10.3174
39,10.2894
40,10.2936
41,10.2777
42,10.2605
43,10.2283
44,10.2197
45,10.1862
46,10.1742
47,10.1517
48,10.1134
49,10.0917
50,10.0686
51,10.0542
52,10.039
53,10.0048
54,9.99032
55,9.93625
56,9.9164
57,9.8848
58,9.86217
59,9.83266
60,9.79811
61,9.76677
62,9.74444
63,9.69297
64,9.66518
65,9.65006
66,9.6083
67,9.5708
68,9.53321
69,9.50721
70,9.45867
71,9.42305
72,9.39956
73,9.35811
74,9.31788
75,9.28486
76,9.23287
77,9.20685
78,9.16599
79,9.13005
80,9.09148
81,9.0446
82,9.01171
83,8.97824
84,8.9401
85,8.89787
86,8.84879
87,8.81589
88,8.7739
89,8.73327
90,8.69114
91,8.65586
92,8.6105
93,8.5631
94,8.52541
95,8.48798
96,8.43886
97,8.39438
98,8.35759
99,8.31911
100,8.27132
101,8.2348
102,8.19483
103,8.15037
104,8.10917
105,8.06774
106,8.0237
107,7.98827
108,7.94532
109,7.90702
110,7.8617
111,7.81631
112,7.77866
113,7.74247
114,7.70266
115,7.65293
116,7.61685
117,7.57362
118,7.52698
119,7.49225
120,7.44377
121,7.40726
122,7.36536
123,7.32548
124,7.28224
125,7.24692
126,7.20431
127,7.1662
128,7.11761
129,7.08725
130,7.04623
131,7.00836
132,6.96565
133,6.92403
134,6.88176
135,6.84497
136,6.80651
137,6.76798
138,6.72909
139,6.69215
140,6.65014
141,6.61465
142,6.57378
143,6.53532
144,6.49758
145,6.46378
146,6.42081
147,6.3924
148,6.34642
149,6.31614
150,6.2748
151,6.23585
152,6.2005
153,6.16359
154,6.12908
155,6.09295
156,6.04894
157,6.01624
158,5.98287
159,5.94071
160,5.91319
161,5.87869
162,5.84289
163,5.80616
164,5.77188
165,5.73469
166,5.70072
167,5.66599
168,5.63337
169,5.59928
170,5.56374
171,5.52999
172,5.49384
173,5.46189
174,5.43649
175,5.40344
176,5.37217
177,5.33163
178,5.30175
179,5.26866
180,5.23801
181,5.20546
182,5.17436
183,5.14373
184,5.11611
185,5.0768
186,5.04787
187,5.01883
188,4.98795
189,4.95441
190,4.93143
191,4.89774
192,4.86722
193,4.83299
194,4.80682
195,4.77937
196,4.74772
197,4.72145
198,4.69115
199,4.66078
200,4.63256
201,4.60233
202,4.57323
203,4.54404
204,4.51614
205,4.48948
206,4.4629
207,4.43423
208,4.40839
209,4.3838
210,4.35095
211,4.32636
212,4.29927
213,4.2755
214,4.24803
215,4.22203
216,4.19463
217,4.16898
218,4.14163
219,4.11525
220,4.09198
221,4.06735
222,4.04265
223,4.01744
224,3.99124
225,3.96666
226,3.94249
227,3.91633
228,3.89331
229,3.86666
230,3.84601
231,3.82
232,3.7972
233,3.7724
234,3.75022
235,3.72802
236,3.70311
237,3.68013
238,3.65749
239,3.63375
240,3.61115
241,3.58565
242,3.56908
243,3.54207
244,3.52343
245,3.49964
246,3.47693
247,3.45615
248,3.4374
249,3.41391
250,3.39244
251,3.37147
252,3.35091
253,3.33017
254,3.31038
255,3.28377
256,3.26945
257,3.24611
258,3.22619
259,3.2051
260,3.18372
261,3.16652
262,3.14664
263,3.12925
264,3.10738
265,3.08677
266,3.06598
267,3.04978
268,3.02983
269,3.01098
270,2.99037
271,2.97485
272,2.95576
273,2.93724
274,2.91617
275,2.89853
276,2.88009
277,2.86332
278,2.84806
279,2.82748
280,2.81117
281,2.79121
282,2.7755
283,2.75785
284,2.73968
285,2.72323
286,2.70853
287,2.68954
288,2.67478
289,2.65547
290,2.63977
291,2.62274
292,2.60537
293,2.58879
294,2.57432
295,2.55583
296,2.54248
297,2.52376
298,2.51035
299,2.49529
300,2.47778
